ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Precio de oferta,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1
,variable,681,,ES AC,1,0,visible,Las imágenes son ilustrativas,"PARA JABÓN LÍQUIDO,PARA SUAVIZANTE,PARA PERFUME TEXTIL,",,,taxable,,1,,,0,0,,,,,1,,,,FANTASÍA,FANTASÍA,,http://localhost:8069/wp-content/uploads/2026/03/ES-AC.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES AC - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,681,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES AC - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,681,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES AC - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,681,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES AC - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,681,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES AC - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,681,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,147,,ES ACQUA 6002,1,0,visible,Las imágenes son ilustrativas,"PERFUME TEXTIL,PARA PERFUME DE AMBIENTE,",,,taxable,,1,,,0,0,,,,,1,,,,ACUÁTICO,ACUÁTICO,,http://localhost:8069/wp-content/uploads/2026/03/ES-ACQUA-6002.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES ACQUA 6002 - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,147,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES ACQUA 6002 - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,147,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES ACQUA 6002 - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,147,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES ACQUA 6002 - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,147,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES ACQUA 6002 - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,147,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,721,,ES ADMIRAL,1,0,visible,Las imágenes son ilustrativas,"PERFUME TEXTIL,PARA PERFUME DE AMBIENTE,",,,taxable,,1,,,0,0,,,,,1,,,,ACUÁTICO,ACUÁTICO,,http://localhost:8069/wp-content/uploads/2026/03/ES-ADMIRAL.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES ADMIRAL - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,721,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES ADMIRAL - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,721,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES ADMIRAL - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,721,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES ADMIRAL - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,721,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES ADMIRAL - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,721,,,,,,5,,Presentaciones,20 Litros,,0,
